351
10
694
694
 0 1 1 27 35  7 (D 0,1,1) (S 39,2,11) (S 36,1,7) (S 30,3,11) (S 35,1,5) (S 2,3,3) (D 0,1,1)
 0 1 2 27 38  9 (D 0,1,1) (S 42,2,6) (S 31,2,8) (S 40,1,10) (S 38,3,8) (S 41,1,3) (S 43,5,11) (S 27,4,9) (D 0,1,1)
 0 1 3 27 36  7 (D 0,1,1) (S 29,4,11) (S 25,1,6) (S 28,2,7) (S 23,3,10) (S 14,4,5) (D 0,1,1)
 0 1 4 27 36  8 (D 0,1,1) (S 45,2,10) (S 46,4,7) (S 22,3,7) (S 37,3,5) (S 21,3,4) (S 44,6,10) (D 0,1,1)
 0 1 5 27 36  8 (D 0,1,1) (S 26,2,4) (S 16,6,11) (S 15,1,2) (S 33,6,7) (S 19,8,11) (S 3,4,4) (D 0,1,1)
 0 1 6 25 31  6 (D 0,1,1) (S 24,2,5) (S 20,3,9) (S 18,7,9) (S 9,1,4) (D 0,1,1)
 0 1 7 27 34  7 (D 0,1,1) (S 13,2,3) (S 32,5,8) (S 34,1,11) (S 10,1,8) (S 47,4,8) (D 0,1,1)
 0 1 8 27 35  5 (D 0,1,1) (S 6,8,8) (S 48,4,10) (S 12,6,9) (D 0,1,1)
 0 1 9 26 36  6 (D 0,1,1) (S 1,2,2) (S 11,6,8) (S 8,10,10) (S 17,5,9) (D 0,1,1)
 0 1 10 26 34  5 (D 0,1,1) (S 7,9,9) (S 5,7,7) (S 4,5,5) (D 0,1,1)
